HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,Side,OnboardSpending
Mars,False,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True,F,P,2854.0
Mars,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,F,P,0.0
Mars,False,TRAPPIST-1e,20.0,False,350.53903958944284,0.0,1750.0,990.0,0.0,True,F,P,3090.539039589443
Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,D,S,0.0
Mars,False,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,False,D,P,2699.0
Earth,False,55 Cancri e,15.0,False,0.0,492.0,48.0,20.0,401.0,False,F,S,961.0
Earth,False,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,False,F,S,3355.0
Earth,True,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,False,G,P,0.0
Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Europa,False,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,B,P,3575.0
Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,False,G,P,0.0
Earth,True,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Mars,False,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,False,F,P,1214.0
Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True,F,P,0.0
Earth,False,55 Cancri e,35.0,False,790.0,0.0,0.0,485.74408365437534,0.0,False,E,S,1275.7440836543753
Earth,False,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,False,E,S,1618.0
Earth,False,TRAPPIST-1e,27.0,False,4.0,0.0,2.0,4683.0,0.0,False,G,S,4689.0
Earth,False,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,True,F,S,1939.0
Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,A,S,0.0
Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,True,A,S,0.0
Europa,False,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,True,A,S,4547.0
Earth,True,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,False,G,S,0.0
Earth,False,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,False,F,S,2667.0
Earth,False,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,False,F,S,634.0
Mars,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True,F,S,0.0
Earth,True,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,0.0,0.0,True,E,S,0.0
Earth,False,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,False,G,P,811.0
Earth,True,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,True,G,S,0.0
Earth,False,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,True,G,S,705.0
Earth,False,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,False,F,S,2007.0
Mars,False,TRAPPIST-1e,27.0,False,793.0,0.0,2.0,253.0,0.0,False,E,S,1048.0
Earth,False,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,True,F,S,902.0
Earth,False,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,False,F,P,922.0
Earth,False,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,False,F,P,2233.0
Earth,False,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,False,F,S,1064.0
Mars,False,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,False,D,P,879.0
Europa,False,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,True,C,S,8904.0
Mars,False,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,True,F,S,1165.0
Mars,False,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,True,F,P,1309.0
Europa,False,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,False,C,S,15815.0
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,False,G,S,0.0
Mars,False,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,False,F,P,7406.0
Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,F,P,0.0
Mars,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,True,F,P,0.0
Earth,False,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,True,G,S,705.0
Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,True,C,S,0.0
Earth,False,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,False,F,P,1362.0
Mars,True,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,True,E,S,0.0
Earth,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,G,S,0.0
Earth,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,True,G,S,0.0
Earth,False,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,False,F,S,917.0
Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,False,G,P,705.0
Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Europa,False,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,False,A,S,1848.0
Earth,False,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,False,G,P,893.0
Earth,False,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,True,G,P,3855.0
Earth,False,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,False,F,P,1301.0
Earth,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Mars,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,True,F,S,0.0
Earth,False,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,False,F,S,921.0
Earth,False,TRAPPIST-1e,24.0,False,0.0,714.4862536656891,0.0,0.0,17.0,True,F,S,731.4862536656891
Earth,True,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,True,G,S,0.0
Earth,True,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,False,G,S,0.0
Earth,False,TRAPPIST-1e,27.0,False,0.0,0.0,570.0,2.0,131.0,False,F,P,703.0
Mars,False,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,False,D,S,1765.0
Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,False,G,S,0.0
Earth,False,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,False,G,S,888.0
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,G,S,0.0
Europa,False,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,False,F,S,5109.0
Europa,False,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,False,B,P,2018.0
Europa,False,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,True,B,P,15940.0
Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,B,P,0.0
Europa,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,True,E,S,0.0
Europa,False,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,True,B,S,2654.0
Earth,False,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,True,F,P,804.0
Earth,False,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,False,G,S,907.0
Mars,False,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,476.35311409149364,True,F,P,476.35311409149364
Europa,False,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,True,D,P,2640.0
Earth,False,TRAPPIST-1e,39.0,False,0.0,2344.0,0.0,65.0,6898.0,False,A,P,9307.0
Europa,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True,A,P,0.0
Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,F,P,0.0
Earth,False,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,699.0,74.0,False,G,S,773.0
Earth,False,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,False,F,P,702.0
Mars,True,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,True,F,S,0.0
Mars,False,TRAPPIST-1e,35.0,False,701.0,0.0,296.0,0.0,25.0,False,E,S,1022.0
Mars,False,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,False,D,S,3014.0
Mars,False,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,False,E,S,2109.0
Earth,True,PSO J318.5-22,22.0,False,0.0,0.0,0.0,0.0,0.0,True,G,S,0.0
Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True,F,S,0.0
Mars,False,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,False,D,S,2738.0
Earth,False,TRAPPIST-1e,19.0,False,0.0,14.0,730.0,0.0,0.0,True,G,P,744.0
Earth,False,PSO J318.5-22,47.0,False,97.0,418.0,126.0,25.0,55.0,False,G,S,721.0
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Earth,False,TRAPPIST-1e,34.0,False,0.0,22.0,0.0,564.0,207.0,False,E,P,793.0
Europa,True,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,C,S,0.0
Earth,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Earth,False,TRAPPIST-1e,26.0,False,440.0,0.0,0.0,0.0,462.0,False,F,P,902.0
Mars,False,TRAPPIST-1e,31.0,False,350.53903958944284,0.0,97.0,0.0,0.0,False,F,P,447.53903958944284
Earth,False,TRAPPIST-1e,20.0,False,0.0,420.0,210.0,0.0,0.0,True,F,S,630.0
Earth,False,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,False,G,S,0.0
Earth,True,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,True,G,S,0.0
Mars,False,TRAPPIST-1e,42.0,False,1072.0,0.0,10.0,0.0,76.0,False,F,P,1158.0
Earth,True,55 Cancri e,27.0,False,0.0,0.0,0.0,0.0,0.0,True,G,S,0.0
Earth,True,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,False,G,P,0.0
Earth,False,TRAPPIST-1e,41.0,False,0.0,0.0,0.0,0.0,607.0,False,F,P,607.0
Earth,False,TRAPPIST-1e,22.0,False,4119.0,0.0,0.0,0.0,61.0,False,G,P,4180.0
Europa,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,True,B,P,0.0
Europa,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True,B,P,0.0
Earth,False,TRAPPIST-1e,57.0,False,50.0,1688.0,0.0,485.74408365437534,135.0,True,G,S,2358.7440836543756
Earth,True,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,False,G,S,0.0
Mars,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,F,P,0.0
Mars,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True,F,S,0.0
Mars,False,TRAPPIST-1e,27.0,False,1365.0,0.0,48.0,22.0,137.0,False,F,S,1572.0
Earth,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,False,G,P,0.0
Earth,False,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,221.0,567.0,False,E,S,788.0
Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,True,G,S,0.0
Earth,True,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Earth,False,TRAPPIST-1e,58.0,False,0.0,985.0,0.0,5.0,0.0,True,E,S,990.0
Earth,False,55 Cancri e,21.0,False,287.0,0.0,16.0,115.0,175.0,False,F,P,593.0
Europa,False,TRAPPIST-1e,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,False,B,S,27428.0
Mars,False,TRAPPIST-1e,38.0,False,3414.0,0.0,161.0,28.0,119.0,False,D,S,3722.0
Earth,False,TRAPPIST-1e,19.0,False,1.0,219.0,673.0,2.0,11.0,True,G,P,906.0
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,False,G,P,0.0
Earth,False,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Earth,False,TRAPPIST-1e,20.0,False,0.0,0.0,3.0,299.0,92.0,False,G,P,394.0
Europa,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,C,P,0.0
Earth,False,TRAPPIST-1e,37.0,False,17.0,146.0,426.0,0.0,232.0,True,F,S,821.0
Earth,False,TRAPPIST-1e,25.0,False,62.0,0.0,0.0,0.0,956.0,False,G,P,1018.0
Earth,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,True,G,S,0.0
Earth,False,55 Cancri e,49.0,False,84.0,3.0,401.0,202.0,98.0,False,E,P,788.0
Earth,True,55 Cancri e,11.0,False,0.0,0.0,0.0,0.0,0.0,False,G,S,0.0
Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Earth,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,False,G,P,0.0
Earth,False,TRAPPIST-1e,39.0,False,0.0,0.0,10.0,898.0,0.0,False,G,P,908.0
Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,F,P,0.0
Mars,False,TRAPPIST-1e,23.0,False,350.53903958944284,0.0,8.0,1072.0,0.0,False,F,P,1430.5390395894428
Mars,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,F,P,0.0
Mars,False,TRAPPIST-1e,39.0,False,406.0,0.0,867.0,0.0,0.0,True,F,P,1273.0
Mars,False,PSO J318.5-22,25.0,False,1052.0,0.0,719.0,0.0,7.0,False,D,P,1778.0
Europa,False,TRAPPIST-1e,36.0,False,0.0,972.0,0.0,795.0,575.0,False,C,P,2342.0
Earth,True,PSO J318.5-22,52.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Earth,True,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,False,G,S,0.0
Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Europa,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,B,S,0.0
Europa,True,TRAPPIST-1e,47.0,False,0.0,0.0,0.0,0.0,0.0,True,B,S,0.0
Europa,True,55 Cancri e,45.0,False,0.0,0.0,0.0,0.0,0.0,True,B,P,0.0
Europa,False,55 Cancri e,27.0,False,0.0,2433.0,270.12864211105006,878.0,443.0,True,A,P,4024.12864211105
Europa,True,TRAPPIST-1e,51.0,False,0.0,0.0,0.0,0.0,0.0,True,C,S,0.0
Earth,False,TRAPPIST-1e,29.0,False,0.0,2.0,66.0,0.0,705.0,False,G,S,773.0
Europa,False,55 Cancri e,27.0,False,2.0,1720.0,12.0,1125.0,122.0,True,C,S,2981.0
Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,False,G,P,0.0
Earth,True,55 Cancri e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,D,P,0.0
Mars,False,TRAPPIST-1e,29.0,False,902.0,1.0,137.0,0.0,0.0,True,F,P,1040.0
Mars,True,TRAPPIST-1e,11.0,False,0.0,0.0,0.0,0.0,0.0,True,F,P,0.0
Mars,False,TRAPPIST-1e,17.0,False,848.0,0.0,307.0,182.0,0.0,False,F,P,1337.0
Earth,False,TRAPPIST-1e,13.0,False,192.0,0.0,0.0,51.0,739.0,False,E,P,982.0
Earth,False,TRAPPIST-1e,35.0,False,147.0,188.0,0.0,10.0,387.0,False,F,P,732.0
Earth,False,TRAPPIST-1e,21.0,False,367.0,281.0,0.0,0.0,146.0,False,F,P,794.0
Earth,False,55 Cancri e,21.0,False,0.0,56.0,0.0,0.0,1918.0,False,F,S,1974.0
Earth,False,TRAPPIST-1e,38.0,False,1517.0,0.0,0.0,27.0,0.0,False,F,P,1544.0
Earth,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Earth,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,False,G,P,0.0
Earth,False,TRAPPIST-1e,25.0,False,122.0,84.0,270.12864211105006,0.0,0.0,False,E,P,476.12864211105006
Earth,False,TRAPPIST-1e,16.0,False,0.0,3.0,0.0,0.0,1099.0,False,F,P,1102.0
Earth,False,55 Cancri e,1.0,False,0.0,0.0,0.0,0.0,0.0,False,G,P,0.0
Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Mars,False,55 Cancri e,21.0,False,2237.0,0.0,119.0,0.0,0.0,False,E,S,2356.0
Mars,False,TRAPPIST-1e,23.0,False,1215.0,80.0,1.0,2.0,0.0,False,E,S,1298.0
Mars,False,TRAPPIST-1e,33.0,False,1933.0,12.0,188.0,1.0,0.0,False,E,S,2134.0
Mars,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,True,E,S,0.0
Mars,False,TRAPPIST-1e,41.0,False,1230.0,0.0,301.0,43.0,1023.0,False,E,S,2597.0
Mars,False,TRAPPIST-1e,16.0,False,915.0,0.0,221.0,234.0,0.0,False,E,S,1370.0
Mars,True,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,False,E,S,0.0
Mars,False,TRAPPIST-1e,20.0,False,1406.0,0.0,0.0,11.0,0.0,False,F,S,1417.0
Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,F,S,0.0
Mars,True,TRAPPIST-1e,16.0,False,0.0,0.0,0.0,0.0,0.0,True,E,S,0.0
Earth,False,TRAPPIST-1e,21.0,False,0.0,2.0,665.0,0.0,9.0,False,G,S,676.0
Mars,False,TRAPPIST-1e,32.0,True,181.0,0.0,5.0,1634.0,0.0,False,F,S,1820.0
Earth,True,PSO J318.5-22,58.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Earth,False,TRAPPIST-1e,24.0,False,4.0,7.0,0.0,713.0,79.0,False,F,S,803.0
Mars,False,TRAPPIST-1e,30.0,False,85.0,0.0,1.0,1720.0,0.0,False,F,S,1806.0
Earth,True,PSO J318.5-22,27.0,False,0.0,0.0,0.0,0.0,0.0,False,G,S,0.0
Mars,False,TRAPPIST-1e,32.0,False,56.0,0.0,256.0,1438.0,0.0,False,F,S,1750.0
Earth,False,TRAPPIST-1e,43.0,False,350.53903958944284,888.0,0.0,0.0,0.0,False,F,P,1238.5390395894428
Europa,True,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,True,B,P,0.0
Mars,False,TRAPPIST-1e,37.0,False,637.0,0.0,0.0,92.0,319.0,False,F,S,1048.0
Mars,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,F,P,0.0
Europa,False,55 Cancri e,33.0,False,0.0,1249.0,0.0,4812.0,1116.0,False,E,P,7177.0
Earth,False,TRAPPIST-1e,18.0,False,313.0,1.0,691.0,283.0,0.0,False,F,S,1288.0
Earth,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,False,G,S,0.0
Mars,True,TRAPPIST-1e,43.0,False,0.0,0.0,0.0,0.0,0.0,True,F,S,0.0
Mars,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,True,F,S,0.0
Europa,False,55 Cancri e,46.0,False,0.0,3571.0,0.0,0.0,7.0,True,C,P,3578.0
Europa,False,TRAPPIST-1e,33.0,False,0.0,86.0,796.0,584.0,10912.0,False,C,P,12378.0
Mars,False,TRAPPIST-1e,21.0,False,2947.0,0.0,287.0,27.0,0.0,False,D,P,3261.0
Europa,False,TRAPPIST-1e,33.0,False,0.0,1.0,0.0,8620.0,1063.0,False,C,S,9684.0
Earth,True,PSO J318.5-22,47.0,False,0.0,0.0,0.0,0.0,0.0,False,G,S,0.0
Earth,True,55 Cancri e,54.0,False,0.0,0.0,0.0,0.0,0.0,True,C,S,0.0
Earth,False,TRAPPIST-1e,30.0,False,335.0,695.0,541.0,0.0,0.0,False,F,P,1571.0
Earth,False,TRAPPIST-1e,29.0,False,272.0,615.0,0.0,0.0,1.0,False,G,P,888.0
Earth,False,TRAPPIST-1e,21.0,False,702.0,172.0,408.0,2.0,6.0,True,F,P,1290.0
Europa,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True,A,S,0.0
Mars,False,55 Cancri e,21.0,False,1664.0,0.0,270.12864211105006,0.0,0.0,False,F,S,1934.12864211105
Mars,True,TRAPPIST-1e,60.0,False,0.0,0.0,0.0,0.0,0.0,True,F,S,0.0
Earth,False,TRAPPIST-1e,22.0,False,0.0,0.0,313.0,299.0,92.0,False,F,S,704.0
Europa,False,TRAPPIST-1e,26.0,False,0.0,4810.0,0.0,981.0,2054.0,False,E,S,7845.0
Earth,False,TRAPPIST-1e,26.0,False,66.0,29.0,0.0,0.0,803.0,False,F,P,898.0
Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Europa,True,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,True,D,S,0.0
Earth,False,TRAPPIST-1e,13.0,False,118.0,0.0,0.0,754.0,1.0,False,F,S,873.0
Earth,False,55 Cancri e,47.0,False,0.0,231.0,592.0,0.0,0.0,True,F,S,823.0
Earth,False,TRAPPIST-1e,63.0,False,0.0,25.0,128.0,0.0,1240.0,False,F,P,1393.0
Europa,True,55 Cancri e,27.0,False,0.0,0.0,0.0,0.0,0.0,True,D,S,0.0
Earth,False,55 Cancri e,50.0,False,44.0,2390.0,0.0,53.0,0.0,True,F,P,2487.0
Earth,False,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,888.0,476.35311409149364,False,F,S,1364.3531140914936
Earth,False,TRAPPIST-1e,45.0,False,0.0,97.0,0.0,14.0,333.0,False,G,P,444.0
Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,2078.0,0.0,0.0,True,F,P,2078.0
Earth,False,TRAPPIST-1e,21.0,False,0.0,918.0,0.0,0.0,0.0,True,F,S,918.0
Earth,True,PSO J318.5-22,29.0,False,0.0,0.0,0.0,0.0,0.0,True,G,P,0.0
Earth,False,TRAPPIST-1e,22.0,False,146.0,654.0,1.0,0.0,2.0,True,F,P,803.0
Europa,True,TRAPPIST-1e,14.0,False,0.0,0.0,0.0,0.0,0.0,True,E,P,0.0
